"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1","bat","trophic","roost","X.N.A","usageKey_gbif","scientificName_gbif","rank_gbif","status_gbif","confidence_gbif","matchType_gbif","kingdom_gbif","phylum_gbif","order_gbif","family_gbif","genus_gbif","kingdomKey_gbif","phylumKey_gbif","classKey_gbif","orderKey_gbif","familyKey_gbif","genusKey_gbif","synonym_gbif","class_gbif","species_gbif","speciesKey_gbif","acceptedUsageKey_gbif","phylum_Expert","class_Expert","order_Expert","family_Expert","genus_Expert","species_Expert","canonicalName_Expert","authorship_Expert","scientificName_normalized_GBIF","key_GBIF","TaxonMatch_GBIF","confidence_GBIF","status_GBIF","rank_GBIF","kingdom_GBIF","phylum_GBIF","class_GBIF","order_GBIF","family_GBIF","genus_GBIF","species_GBIF","canonicalName_GBIF","authorship_GBIF","scientificName_normalized_Expert","key_GBIF.1"
"1","AdamHubert1976-a1","Nycteris macrotis Dobson, 1876","Adansonia digitata L.","roost in","Africa","Senegal","tree",NA,NA,"yes",NA,5406695,"Adansonia digitata L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Adansonia",6,7707728,220,941,6685,3152213,FALSE,"Magnoliopsida","Adansonia digitata",5406695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AdamHubert1976-b1","Nycteris grandis Peters, 1865","Nycteris macrotis Dobson, 1876","co-roosts with","Africa","Senegal","tree","yes",NA,NA,NA,5218609,"Nycteris macrotis Dobson, 1876","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Chiroptera","Nycteridae","Nycteris",1,44,359,734,5448,2432739,FALSE,"Mammalia","Nycteris macrotis",5218609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AdamHubert1976-b2","Nycteris macrotis Dobson, 1876","Nycteris grandis Peters, 1865","co-roosts with","Africa","Senegal","tree","yes",NA,NA,NA,5218616,"Nycteris grandis Peters, 1865","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Chiroptera","Nycteridae","Nycteris",1,44,359,734,5448,2432739,FALSE,"Mammalia","Nycteris grandis",5218616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AdamHubert1976-b3","Nycteris macrotis Dobson, 1876","Nycteris thebaica E.Geoffroy, 1818","co-roosts with","Africa","Senegal","tree","yes",NA,NA,NA,5218614,"Nycteris thebaica E.Geoffroy, 1818","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Chiroptera","Nycteridae","Nycteris",1,44,359,734,5448,2432739,FALSE,"Mammalia","Nycteris thebaica",5218614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AdamHubert1976-b4","Nycteris thebaica E.Geoffroy, 1818","Nycteris gambiensis (K.Andersen, 1912)","co-roosts with","Africa","Senegal","anthropogenic","yes",NA,NA,NA,5218611,"Nycteris gambiensis (K.Andersen, 1912)","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Chiroptera","Nycteridae","Nycteris",1,44,359,734,5448,2432739,FALSE,"Mammalia","Nycteris gambiensis",5218611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AdamHubert1976-b5","Nycteris thebaica E.Geoffroy, 1818","Nycteris macrotis Dobson, 1876","co-roosts with","Africa","Senegal","tree","yes",NA,NA,NA,5218609,"Nycteris macrotis Dobson, 1876","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Chiroptera","Nycteridae","Nycteris",1,44,359,734,5448,2432739,FALSE,"Mammalia","Nycteris macrotis",5218609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alcalde1999-a14","Nyctalus noctula (Schreber, 1774)","Aesculus hippocastanum L.","roost in","Europe","Spain","tree",NA,NA,"yes",NA,3189815,"Aesculus hippocastanum L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Sapindales","Sapindaceae","Aesculus",6,7707728,220,933,6657,3189801,FALSE,"Magnoliopsida","Aesculus hippocastanum",3189815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alcalde1999-a15","Nyctalus noctula (Schreber, 1774)","Aesculus hippocastanum L.","roost in","Europe","Spain","tree",NA,NA,"yes",NA,3189815,"Aesculus hippocastanum L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Sapindales","Sapindaceae","Aesculus",6,7707728,220,933,6657,3189801,FALSE,"Magnoliopsida","Aesculus hippocastanum",3189815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alcalde1999-a16","Nyctalus noctula (Schreber, 1774)","Aesculus hippocastanum L.","roost in","Europe","Spain","tree",NA,NA,"yes",NA,3189815,"Aesculus hippocastanum L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Sapindales","Sapindaceae","Aesculus",6,7707728,220,933,6657,3189801,FALSE,"Magnoliopsida","Aesculus hippocastanum",3189815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alcalde1999-a17","Nyctalus noctula (Schreber, 1774)","Aesculus hippocastanum L.","roost in","Europe","Spain","tree",NA,NA,"yes",NA,3189815,"Aesculus hippocastanum L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Sapindales","Sapindaceae","Aesculus",6,7707728,220,933,6657,3189801,FALSE,"Magnoliopsida","Aesculus hippocastanum",3189815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
