"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1"
"1","AdamHubert1976-a1","Nycteris macrotis","Adansonia digitata","roost in","Africa","Senegal","tree"
"2","AdamHubert1976-a10","Nycteris gambiensis","","roost in","Africa","Senegal","anthropogenic"
"3","AdamHubert1976-a11","Nycteris gambiensis","","roost in","Africa","Senegal","cave"
"4","AdamHubert1976-a2","Nycteris macrotis","Ceiba pentendra","roost in","Africa","Senegal","tree"
"5","AdamHubert1976-a3","Nycteris macrotis","","roost in","Africa","Senegal","nest"
"6","AdamHubert1976-a4","Nycteris macrotis","","roost in","Africa","Senegal","nest"
"7","AdamHubert1976-a5","Nycteris macrotis","","roost in","Africa","Senegal","not specified"
"8","AdamHubert1976-a6","Nycteris grandis","Ceiba pentendra","roost in","Africa","Senegal","tree"
"9","AdamHubert1976-a7","Nycteris grandis","Ceiba pentendra","roost in","Africa","Senegal","tree"
"10","AdamHubert1976-a8","Nycteris thebaica","baobabs","roost in","Africa","Senegal","tree"
"11","AdamHubert1976-a9","Nycteris thebaica","","roost in","Africa","Senegal","anthropogenic"
"12","AdamHubert1976-b1","Nycteris grandis","Nycteris macrotis","co-roosts with","Africa","Senegal","tree"
"13","AdamHubert1976-b2","Nycteris macrotis","Nycteris grandis","co-roosts with","Africa","Senegal","tree"
"14","AdamHubert1976-b3","Nycteris macrotis","Nycteris thebaica","co-roosts with","Africa","Senegal","tree"
"15","AdamHubert1976-b4","Nycteris thebaica","Nycteris gambiensis","co-roosts with","Africa","Senegal","anthropogenic"
"16","AdamHubert1976-b5","Nycteris thebaica","Nycteris macrotis","co-roosts with","Africa","Senegal","tree"
"17","Alcalde1999-a1","Nyctalus noctula","","roost in","Europe","Spain","tree"
"18","Alcalde1999-a10","Nyctalus noctula","","roost in","Europe","Spain","anthropogenic"
"19","Alcalde1999-a11","Pipistrellus pipistrellus","","roost in","Europe","Spain","anthropogenic"
"20","Alcalde1999-a12","Nyctalus leisleri","","roost in","Europe","Spain","anthropogenic"
"21","Alcalde1999-a13","Nyctalus noctula","","roost in","Europe","Spain",""
"22","Alcalde1999-a14","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"23","Alcalde1999-a15","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"24","Alcalde1999-a16","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"25","Alcalde1999-a17","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"26","Alcalde1999-a18","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"27","Alcalde1999-a19","Nyctalus noctula","Populus nigra","roost in","Europe","Spain","tree"
"28","Alcalde1999-a2","Nyctalus noctula","Aesculus hippocastanum","roost in","Europe","Spain","tree"
"29","Alcalde1999-a20","Nyctalus noctula","Populus alba","roost in","Europe","Spain","tree"
"30","Alcalde1999-a21","Nyctalus noctula","Populus alba","roost in","Europe","Spain","tree"
"31","Alcalde1999-a3","Nyctalus noctula","Populus alba","roost in","Europe","Spain","tree"
"32","Alcalde1999-a4","Nyctalus noctula","Fraxinus excelsior","roost in","Europe","Spain","tree"
"33","Alcalde1999-a5","Nyctalus noctula","Populus nigra","roost in","Europe","Spain","tree"
"34","Alcalde1999-a6","Nyctalus noctula","Ailanthus altissima","roost in","Europe","Spain","tree"
"35","Alcalde1999-a7","Nyctalus noctula","Acer psendoplatanus","roost in","Europe","Spain","tree"
"36","Alcalde1999-a8","Nyctalus noctula","Platanus hispanica","roost in","Europe","Spain","tree"
"37","Alcalde1999-a9","Nyctalus noctula","","roost in","Europe","Spain","anthropogenic"
"38","Alcalde1999-b1","Nyctalus noctula","Pippistrellus pipistrellus","co-roosts with","Europe","Spain","anthropogenic"
"39","Alcalde1999-b2","Nyctalus noctula","Nyctalus leisleri","co-roosts with","Europe","Spain","anthropogenic"
"40","Alcalde1999-b3","Pipistrellus pipistrellus","Nyctalus leisleri","co-roosts with","Europe","Spain","anthropogenic"
"41","Aldridge1990-a1","Nycteris thebaica","Acacia albida","roost in","Africa","Zimbabwe","tree"
"42","Aldridge1990-a2","Nycteris thebaica","Trichelia emetica","roost in","Africa","Zimbabwe","tree"
"43","Aldridge1990-a3","Nycteris thebaica","","roost in","Africa","Zimbabwe","anthropogenic"
"44","Aldridge1990-a4","Nycteris thebaica","","roost in","Africa","Zimbabwe","anthropogenic"
"45","Aldridge1990-a5","Nycteris grandis","Acacia albida","roost in","Africa","Zimbabwe","tree"
"46","Aldridge1990-b1","Nycteris thebaica","Nycteris grandis","co-roosts with","Africa","Zimbabwe","tree"
"47","AlonsoMejÍa1991-a1","Micronycteris megalotis","","roost in","","","tree"
"48","AlonsoMejÍa1991-a1","Micronycteris megalotis","","roost in","","","tree"
"49","AlonsoMejÍa1991-a2","Micronycteris megalotis","","roost in","","","tree"
"50","AlonsoMejÍa1991-a3","Micronycteris megalotis","","roost in","","","cave"
"51","AlonsoMejÍa1991-a4","Micronycteris megalotis","","roost in","","","anthropogenic"
"52","AlonsoMejÍa1991-a5","Micronycteris megalotis","","roost in","","","rock shelter"
"53","AlonsoMejÍa1991-a6","Micronycteris megalotis","","roost in","","","anthropogenic"
"54","AlonsoMejÍa1991-a7","Micronycteris megalotis","","roost in","","","anthropogenic"
