occurenceId	sourceTaxonName	targetTaxonName	interactionTypeName	interactionTypeId	Season	Start Month	Start Date	2014	End Month	End Date	End Year	Country	localityName	synchronous_YN	contact_YN	roostCat1	ENVO_cat1	roostCat2	ENVO_cat2	roostCat3	ENVO_cat3	InteractionText	roostUsageType	InteractionReferencePage	Basis of record	RecordReference	FrequencyofOccurances	Tags	Habitat	referenceFileName	referenceDOI	referenceURL	referenceCitation	contributors
Baker1967-a1	Myotis leibii	none	roosts in			11	27	1964				United States	Howard Waterfall Cave, Trenton, Dade County, Georgia			cave	ENVO_00000067					I found on female M. leibii (Univ. Georgia no. 2749) in Howard Waterfall Cave, Trenton, Dade County, Georgia. This individual was in the same room with four solitary Pipistrellus subflavus. 		1	Author Observation					Baker_1967	10.2307/1378185	https://www.jstor.org/stable/1378185	Wilson Baker W. Myotis leibii leibii in Georgia. Journal of Mammalogy. 1967 Feb 20;48(1):142.	ARW
Baker1967-a2	Pipistrellus subflavus	none	roosts in			11	27	1964				United States	Howard Waterfall Cave, Trenton, Dade County, Georgia			cave	ENVO_00000067					I found on female M. leibii (Univ. Georgia no. 2749) in Howard Waterfall Cave, Trenton, Dade County, Georgia. This individual was in the same room with four solitary Pipistrellus subflavus. 		1	Author Observation					Baker_1967	10.2307/1378185	https://www.jstor.org/stable/1378185	Wilson Baker W. Myotis leibii leibii in Georgia. Journal of Mammalogy. 1967 Feb 20;48(1):142.	ARW
Baker1967-b1	Myotis leibii	Pipistrellus subflavus	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		11	27	1964				United States	Howard Waterfall Cave, Trenton, Dade County, Georgia	yes	no	cave	ENVO_00000067					I found on female M. leibii (Univ. Georgia no. 2749) in Howard Waterfall Cave, Trenton, Dade County, Georgia. This individual was in the same room with four solitary Pipistrellus subflavus...I considered two species to be using the same roost site if they were within 0.5 m of each other		1	Author Observation					Baker_1967	10.2307/1378185	https://www.jstor.org/stable/1378185	Wilson Baker W. Myotis leibii leibii in Georgia. Journal of Mammalogy. 1967 Feb 20;48(1):142.	ARW
Graham1988-a1	Anoura caudifer	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 2			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a2	Anoura geoffroyi	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a3	Carollia brevicauda	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a4	Carollia brevirostris	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a5	Carollia castanea	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a6	Carollia perspicillata	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a7	Carollia perspicillata	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ACS
