referenceFileName,TaxonName,bat,trophic,roost,#N/A,usageKey_gbif,scientificName_gbif,rank_gbif,status_gbif,confidence_gbif,matchType_gbif,kingdom_gbif,phylum_gbif,order_gbif,family_gbif,genus_gbif,kingdomKey_gbif,phylumKey_gbif,classKey_gbif,orderKey_gbif,familyKey_gbif,genusKey_gbif,synonym_gbif,class_gbif,species_gbif,speciesKey_gbif,acceptedUsageKey_gbif,phylum_Expert,class_Expert,order_Expert,family_Expert,genus_Expert,species_Expert,canonicalName_Expert,authorship_Expert,scientificName_normalized_GBIF,key_GBIF,TaxonMatch_GBIF,confidence_GBIF,status_GBIF,rank_GBIF,kingdom_GBIF,phylum_GBIF,class_GBIF,order_GBIF,family_GBIF,genus_GBIF,species_GBIF,canonicalName_GBIF,authorship_GBIF,scientificName_normalized_Expert,key_GBIF
Kalko_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kalko_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kalko_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Kalko_etal_1999,Artibeus jamaicensis,yes,NA,NA,NA,2433272,"Artibeus jamaicensis Leach, 1821",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus jamaicensis,2433272,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Lonchorhina aurita,yes,NA,NA,NA,2433215,"Lonchorhina aurita Tomes, 1863",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Lonchorhina,1,44,359,734,9366,2433212,FALSE,Mammalia,Lonchorhina aurita,2433215,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Caire_etal_1979,Myotis keenii,yes,NA,NA,NA,2432435,"Myotis keenii (Merriam, 1895)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis,1,44,359,734,9368,2432384,FALSE,Mammalia,Myotis keenii,2432435,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Caire_etal_1979,Myotis sodalis,yes,NA,NA,NA,2432418,"Myotis sodalis Miller & G.M.Allen, 1928",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis,1,44,359,734,9368,2432384,FALSE,Mammalia,Myotis sodalis,2432418,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Nycteris thebaica,yes,NA,NA,NA,5218614,"Nycteris thebaica E.Geoffroy, 1818",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Nycteridae,Nycteris,1,44,359,734,5448,2432739,FALSE,Mammalia,Nycteris thebaica,5218614,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Plerotes anchietae,yes,NA,NA,NA,4265711,"Plerotes anchietae (Seabra, 1900)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Pteropodidae,Plerotes,1,44,359,734,9367,2432959,FALSE,Mammalia,Plerotes anchietae,4265711,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodman_Pidgeon_1992,Acerodon mackloti,yes,NA,NA,yes,11305802,"Acerodon mackloti (Temminck, 1837)",SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Chiroptera,Pteropodidae,Acerodon,1,44,359,734,9367,5218701,TRUE,Mammalia,Acerodon macklotii,5218702,5218702,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Ametrida centurio,yes,NA,NA,NA,2433235,"Ametrida centurio Gray, 1847",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Ametrida,1,44,359,734,9366,2433234,FALSE,Mammalia,Ametrida centurio,2433235,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Graham_1988,Anoura caudifer,yes,NA,NA,NA,5963040,"Anoura caudifer (E.Geoffroy, 1818)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura caudifer,5963040,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Greenhall_Schutt_1996,Anoura caudifer,yes,NA,NA,NA,5963040,"Anoura caudifer (E.Geoffroy, 1818)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura caudifer,5963040,NA,,,,,,,,,,,,,,,,,,,,,,,,,
